BASE_DATE,SIDO_CD,SIDO_NM,역번호,역사명,노선번호,노선명,역위도,역경도,역사도로명주소
20240630,31,경기도,1211,운길산역,I4108,경의중앙선,37.554659,127.310089,경기도 남양주시 조안면 운길산로 20
20240630,31,경기도,1278,운정역,I4108,경의중앙선,37.725441,126.767076,경기도 파주시 운정역길 368(야당동 299-4번지)
20240630,31,경기도,1286,운천역,I4108,경의중앙선,37.880608,126.7676137,경기도 파주시 문산읍 통일로2033번길3
20240630,31,경기도,1218,원덕역,I4108,경의중앙선,37.468585,127.547468,경기도 양평군 양평읍 원덕흑천길 138
20240630,31,경기도,1282,월롱역,I4108,경의중앙선,37.796201,126.792574,경기도 파주시 월롱면 통일로 980
20240630,31,경기도,1275,일산역,I4108,경의중앙선,37.682231,126.769521,경기도 고양시 일산서구 경의로 672
20240630,31,경기도,1285,임진강역,I4108,경의중앙선,37.888364,126.746777,경기도 파주시 문산읍 임진각로 115(문산읍)
20240630,31,경기도,1220,지평역,I4108,경의중앙선,37.476496,127.629681,경기도 양평군 지평면 지평역길 32
20240630,31,경기도,1276,탄현역,I4108,경의중앙선,37.694114,126.761075,경기도 고양시 일산서구 경의로 856(덕이동)
20240630,31,경기도,1283,파주역,I4108,경의중앙선,37.815391,126.792426,경기도 파주시 파주읍 주라위길 38
20240630,31,경기도,1210,팔당역,I4108,경의중앙선,37.547321,127.243896,경기도 남양주시 와부읍 팔당로 107번길
20240630,31,경기도,1274,풍산역,I4108,경의중앙선,37.672173,126.786355,경기도 고양시 일산동구 경의로 486(풍동)
20240630,31,경기도,1268,한국항공대,I4108,경의중앙선,37.637837,126.832503,경기도 고양시 덕양구 화랑로 53(화전동 183-10)
20240630,31,경기도,1270,행신역,I4108,경의중앙선,37.612125,126.834063,경기도 고양시 덕양구 행신동 충경로 124번지(행신2동 812)
20240630,31,경기도,1323,가평역,I41K2,경춘선,37.814515,127.510693,경기도 가평군 가평읍 문화로 13-42(달전리 567)
20240630,31,경기도,1312,갈매역,I41K2,경춘선,37.634135,127.114803,경기도 구리시 갈매동 경춘북로 229(갈매동 502-18)
20240630,31,경기도,1316,금곡역,I41K2,경춘선,37.637414,127.207931,경기도 남양주시 경춘로 903(금곡동 404-276)
20240630,31,경기도,1320,대성리역,I41K2,경춘선,37.683909,127.379165,경기도 가평군 청평면 경춘로 88(대성리 393)
20240630,31,경기도,1319,마석역,I41K2,경춘선,37.652328,127.311713,경기도 남양주시 화도읍 마석우리 241-4
20240630,31,경기도,1313,별내역,I41K2,경춘선,37.642221,127.127208,경기도 남양주시 경춘북로 375(별내동 182-5)
20240630,31,경기도,1315,사릉역,I41K2,경춘선,37.651145,127.176839,경기도 남양주시 진건읍 진건우회로 72-8(사능리 590-2)
20240630,31,경기도,1322,상천역,I41K2,경춘선,37.770405,127.4542,경기도 가평군 청평면 상천역로 29(상천리 1261)
20240630,31,경기도,1318,천마산역,I41K2,경춘선,37.658995,127.285731,경기도 남양주시 화도읍 묵현로 25번길 37
20240630,31,경기도,1321,청평역,I41K2,경춘선,37.735484,127.426541,경기도 가평군 청평면 청평역로 97-33(청평리 125-1)
20240630,31,경기도,1314,퇴계원역,I41K2,경춘선,37.648316,127.143858,경기도 남양주시 퇴계원면 경춘북로 545(퇴계원리 218-8)
20240630,31,경기도,1317,평내호평역,I41K2,경춘선,37.653229,127.244452,경기도 남양주시 경춘로 1375(평내동 156)
20240630,31,경기도,1504,경기광주역,I41K5,경강선,37.398974,127.253201,경기도 광주시 광주역로 10 경기광주역사
20240630,31,경기도,1506,곤지암역,I41K5,경강선,37.350525,127.346186,경기도 광주시 곤지암천로 333
20240630,31,경기도,1509,부발역,I41K5,경강선,37.260411,127.490303,경기도 이천시 부발읍 신아로 87
20240630,31,경기도,1503,삼동역,I41K5,경강선,37.408731,127.203447,경기도 광주시 순암로 451
20240630,31,경기도,1512,성남역,I41K5,경강선,37.394709,127.11949,경기도 성남시 분당구 백현동 545-1
20240630,31,경기도,1510,세종대왕릉역,I41K5,경강선,37.293636,127.570764,경기도 여주시 능서면 양화로 877
20240630,31,경기도,1507,신둔도예촌역,I41K5,경강선,37.315499,127.405251,경기도 이천시 신둔면 남정로 55
20240630,31,경기도,1511,여주역,I41K5,경강선,37.282881,127.628571,경기도 여주시 교동로 80(교동 403-1)
20240630,31,경기도,1502,이매역,I41K5,경강선,37.394736,127.123048,경기도 성남시 분당구 성남대로 738
20240630,31,경기도,1508,이천역,I41K5,경강선,37.264222,127.442135,경기도 이천시 이섭대천로 1063
20240630,31,경기도,1505,초월역,I41K5,경강선,37.373389,127.299996,경기도 광주시 초월읍 경충대로 1066
20240630,31,경기도,1501,판교역,I41K5,경강선,37.394798,127.111135,경기도 성남시 분당구 판교역로 160
20240630,31,경기도,1272,곡산역,I41WS,서해선,37.645729,126.801877,경기도 고양시 일산동구 경의로 160(백석동)
20240630,31,경기도,1271,능곡역,I41WS,서해선,37.618741,126.820845,경기도 고양시 덕양구 토당로 35(토당동 454-3)
20240630,31,경기도,4811,달미역,I41WS,서해선,37.3493203,126.808218,경기도 안산시 단원구 순환로 지하 160
20240630,31,경기도,1953,대곡역,I41WS,서해선,37.631629,126.811025,경기도 고양시 덕양구 대주로 107번길 71-81(대장동 420-1)
20240630,31,경기도,1273,백마역,I41WS,서해선,37.658346,126.794401,경기도 고양시 일산동구 경의로 318(풍동 482-8)
20240630,31,경기도,1982,부천종합운동장역,I41WS,서해선,37.505452,126.797498,경기도 부천시 길주로 지하 502
20240630,31,경기도,4812,선부역,I41WS,서해선,37.3339083,126.810977,경기도 안산시 단원구 선부광장로 34
20240630,31,경기도,4804,소사역,I41WS,서해선,37.482755,126.795654,경기도 부천시 소사구 경인로 363
20240630,31,경기도,4805,소새울역,I41WS,서해선,37.4691546,126.797228,경기도 부천시 소사로 지하 284
20240630,31,경기도,4814,시우역,I41WS,서해선,37.3137673,126.798303,경기도 안산시 단원구 동산로 지하 50
20240630,31,경기도,4810,시흥능곡역,I41WS,서해선,37.3699903,126.808594,경기도 시흥시 시흥대로 지하 327
20240630,31,경기도,4806,시흥대야역,I41WS,서해선,37.4504787,126.793142,경기도 부천시 소사로 지하 120
20240630,31,경기도,4809,시흥시청역,I41WS,서해선,37.3814109,126.805946,경기도 시흥시 시흥대로 지하 467
20240630,31,경기도,4807,신천역,I41WS,서해선,37.4391147,126.786835,경기도 시흥시 서해안로 지하 1670
20240630,31,경기도,4808,신현역,I41WS,서해선,37.4091399,126.78788,경기도 시승시 신현로 12번길 지하 2-10
20240630,31,경기도,4815,원시역,I41WS,서해선,37.3059468,126.788297,경기도 안산시 단원구 선단로 지하 70
20240630,31,경기도,1981,원종역,I41WS,서해선,37.5240628,126.8048386,경기도 부천시 원종동 404
20240630,31,경기도,1275,일산역,I41WS,서해선,37.682231,126.769521,경기도 고양시 일산서구 경의로 672
20240630,31,경기도,4813,초지역,I41WS,서해선,37.320583,126.806151,경기도 안산시 단원구 중앙대로 620
20240630,31,경기도,1274,풍산역,I41WS,서해선,37.672173,126.786355,경기도 고양시 일산동구 경의로 486(풍동)
20240630,31,경기도,Y111,강남대,L41E1,에버라인,37.27017073,127.1260669,경기도 용인시 기흥구 중부대로 578
20240630,31,경기도,Y121,고진,L41E1,에버라인,37.24463834,127.2141836,경기도 용인시 처인구 경안천로 141
20240630,31,경기도,Y110,기흥(백남준아트센터),L41E1,에버라인,37.27545288,127.1170465,경기도 용인시 기흥구 중부대로 460
20240630,31,경기도,Y119,김량장,L41E1,에버라인,37.23732377,127.1986109,경기도 용인시 처인구 금학로 315
20240630,31,경기도,Y114,동백(용인세브란스),L41E1,에버라인,37.26910138,127.1526906,경기도 용인시 기흥구 동백죽전대로 314
20240630,31,경기도,Y123,둔전,L41E1,에버라인,37.26721222,127.2136387,경기도 용인시 처인구 포곡읍 포곡로 70
20240630,31,경기도,Y118,명지대,L41E1,에버라인,37.23807629,127.1902913,경기도 용인시 처인구 금학로 241
20240630,31,경기도,Y122,보평,L41E1,에버라인,37.25896427,127.2184808,경기도 용인시 처인구 경안천로 313
20240630,31,경기도,Y116,삼가,L41E1,에버라인,37.24205993,127.16818,경기도 용인시 처인구 중부대로 1098
20240630,31,경기도,Y117,시청·용인대,L41E1,에버라인,37.23944203,127.1788851,경기도 용인시 처인구 중부대로 1199-1
20240630,31,경기도,Y113,어정,L41E1,에버라인,37.27495132,127.1437499,경기도 용인시 기흥구 어정로 128
20240630,31,경기도,Y120,용인중앙시장(용인예술과학대),L41E1,에버라인,37.2379113,127.2090526,경기도 용인시 처인구 금학로 409
20240630,31,경기도,Y124,전대·에버랜드,L41E1,에버라인,37.28541327,127.219509,경기도 용인시 처인구 포곡읍 에버랜드로 143
20240630,31,경기도,Y112,지석,L41E1,에버라인,37.26973732,127.1363256,경기도 용인시 기흥구 어정로 28
20240630,31,경기도,Y115,초당,L41E1,에버라인,37.26080647,127.1594692,경기도 용인시 기흥구 동백죽전대로 204
20240630,31,경기도,G105,걸포북변역,L41G1,김포도시철도,37.631639,126.70575,경기도 김포시 김포대로 지하 1040
20240630,31,경기도,G108,고촌역,L41G1,김포도시철도,37.60125,126.770361,경기도 김포시 고촌읍 김포대로 지하 350
20240630,31,경기도,G101,구래역,L41G1,김포도시철도,37.645354,126.6285,경기도 김포시 김포한강7로 87
20240630,31,경기도,G102,마산역,L41G1,김포도시철도,37.640606,126.643944,경기도 김포시 김포한강3로 지하 442
20240630,31,경기도,G106,사우역,L41G1,김포도시철도,37.620361,126.719722,경기도 김포시 김포대로 지하 852
20240630,31,경기도,G100,양촌역,L41G1,김포도시철도,37.641639,126.614694,경기도 김포시 양촌읍 양촌역길 107
20240630,31,경기도,G104,운양역,L41G1,김포도시철도,37.653861,126.683833,경기도 김포시 김포한강1로 지하 235
20240630,31,경기도,G103,장기역,L41G1,김포도시철도,37.644028,126.669,경기도 김포시 김포한강1로 지하 59
20240630,31,경기도,G107,풍무역,L41G1,김포도시철도,37.612333,126.732583,경기도 김포시 김포대로 지하 710
20240630,31,경기도,U120,경기도청북부청사,L41U1,의정부,37.75073213,127.0714795,경기도 의정부시 장곡로 615
20240630,31,경기도,U113,경전철의정부,L41U1,의정부,37.73729974,127.043321,경기도 의정부시 신흥로 237
20240630,31,경기도,U122,곤제,L41U1,의정부,37.75054343,127.0838651,경기도 의정부시 천보로 173
20240630,31,경기도,U118,동오,L41U1,의정부,37.74519123,127.05703,경기도 의정부시 장곡로 471
20240630,31,경기도,U110,발곡,L41U1,의정부,37.275361,127.008569,경기도 의정부시 장곡로 258
20240630,31,경기도,U112,범골,L41U1,의정부,37.7287279,127.0437202,경기도 의정부시 신흥로 141
20240630,31,경기도,U119,새말,L41U1,의정부,37.74889941,127.063869,경기도 의정부시 장곡로 551
20240630,31,경기도,U124,송산,L41U1,의정부,37.7371698,127.0872755,경기도 의정부시 충의로 59
20240630,31,경기도,U123,어룡,L41U1,의정부,37.74272184,127.0852045,경기도 의정부시 충의로 125
20240630,31,경기도,U114,의정부시청,L41U1,의정부,37.73924874,127.034854,경기도 의정부시 의정로 69
20240630,31,경기도,U117,의정부중앙,L41U1,의정부,37.74371903,127.0496332,경기도 의정부시 호국로 1305
20240630,31,경기도,U125,탑석,L41U1,의정부,37.73355362,127.0889064,경기도 의정부시 충의로 20
20240630,31,경기도,U111,회룡,L41U1,의정부,37.72505255,127.0467864,경기도 의정부시 평화로 363
20240630,31,경기도,U121,효자,L41U1,의정부,37.75398452,127.0773155,경기도 의정부시 부용로 159-40
20240630,31,경기도,U115,흥선,L41U1,의정부,37.74322487,127.0371765,경기도 의정부시 호국로 1197
20240630,31,경기도,555,미사,S1105,5호선,37.56329,127.192954,경기도 하남시 미사강변동로 지하90(망월동)
20240630,31,경기도,558,하남검단산,S1105,5호선,37.539729,127.223427,경기도 하남시 대청로 지하100(창우동)
20240630,31,경기도,557,하남시청(덕풍?신장),S1105,5호선,37.541723,127.206901,경기도 하남시 하남대로 지하820(덕풍동)
20240630,31,경기도,556,하남풍산,S1105,5호선,37.552201,127.203897,경기도 하남시 덕풍서로 지하50(덕풍동)
20240630,31,경기도,748,광명사거리,S1107,7호선,37.47927,126.854854,경기도 광명시 오리로 지하980(광명동)
20240630,31,경기도,709,장암,S1107,7호선,37.70015,127.053126,경기도 의정부시 동일로 121(장암동)
20240630,31,경기도,747,철산,S1107,7호선,37.47616,126.868217,경기도 광명시 철산로 지하13(철산동)
20240630,31,경기도,3753,까치울,S1107,도시철도 7호선,37.506236,126.81095,경기도 부천시 원미구 길주로 지하 626 (춘의동)
20240630,31,경기도,3757,부천시청,S1107,도시철도 7호선,37.504611,126.763561,경기도 부천시 원미구 길주로 지하 202 (중동)
20240630,31,경기도,3754,부천종합운동장,S1107,도시철도 7호선,37.505381,126.79735,경기도 부천시 원미구 길주로 지하 502 (춘의동)
20240630,31,경기도,3758,상동,S1107,도시철도 7호선,37.505769,126.753081,경기도 부천시 원미구 길주로 지하 104 (상동)
20240630,31,경기도,3756,신중동,S1107,도시철도 7호선,37.503081,126.776161,경기도 부천시 원미구 길주로 지하 314 (중동)
20240630,31,경기도,3755,춘의,S1107,도시철도 7호선,37.50365,126.787069,경기도 부천시 원미구 길주로 지하 406 (춘의동)
20240630,31,경기도,821,남위례,S1108,8호선,37.462839,127.139047,경기도 성남시 수정구 공원로 601(복정동)
20240630,31,경기도,823,남한산성입구(성남법원·검찰청),S1108,8호선,37.451568,127.159845,경기도 성남시 수정구 산성대로 지하445(단대동)
20240630,31,경기도,824,단대오거리,S1108,8호선,37.445057,127.156735,경기도 성남시 수정구 산성대로 지하365(신흥동)
20240630,31,경기도,827,모란,S1108,8호선,37.433888,127.129921,경기도 성남시 수정구 산성대로 지하100(수진동)
20240630,31,경기도,822,산성,S1108,8호선,37.456886,127.149927,경기도 성남시 수정구 수정로 지하365(신흥동)
20240630,31,경기도,826,수진,S1108,8호선,37.437575,127.140936,경기도 성남시 수정구 산성대로 지하200(수진동)
20240630,31,경기도,825,신흥,S1108,8호선,37.440952,127.14759,경기도 성남시 수정구 산성대로 지하280(신흥동)
20240630,31,경기도,805,다산역,S4108,수도권 광역철도 8호선,37.62437,127.1498,경기도 남양주 다산중앙로 123번길(다산동)
20240630,31,경기도,804,별내역,S4108,수도권 광역철도 8호선,37.64217,127.1273,경기도 남양주시 경춘북로 375(별내동)
20240630,32,강원특별자치도,1326,강촌역,I41K2,경춘선,37.805728,127.634054,강원도 춘춘시 남산면 강촌로 150(방곡리 409)
20240630,32,강원특별자치도,1324,굴봉산역,I41K2,경춘선,37.832086,127.557732,강원도 춘천시 남산면 서백길 192(백양리 588-30)
